ID_Number,c4_base,c8_base,c4_top,c8_top,twist_linear,twist_amplitude,twist_period,perimeter_ratio,height,mass,thickness,material
381,0,-0.737692055414573,0,-0.962527436487796,6.28318530717959,0,0,1,19,3.3,0.530171582803162,Armadillo
383,0,0.638032672196101,0,0.976935983684949,0,0,0,1,19,3.3,0.581272458254069,Cheetah
384,0.995400161483804,0.848600299898494,0.995400161483804,0.848600299898494,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
385,0.448107403010677,-0.462271116387187,0,-0.910378519397865,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
387,0.451871081985131,0.920452098436808,0,-0.943516114751859,0,0,0,1,19,3.3,0.581272458254069,Cheetah
388,0.56880009227646,-0.288999884654425,0,0.990800322967609,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
389,0.224835381073223,-0.737692055414573,0,0.761210485073581,0,0,0,1,19,3.3,0.530171582803162,Armadillo
392,0.56880009227646,-0.288999884654425,1.13760018455292,0.279800207622035,0,0,0,1,19,3.3,0.945992432060544,Armadillo
395,0,-0.661096688511152,0,-0.943516114751859,6.28318530717959,0,0,1,19,3.3,0.581272458254069,Cheetah
396,0,0.279800207622035,1.13760018455292,0.279800207622035,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
399,0.451871081985131,0.920452098436808,0,0.976935983684949,6.28318530717959,0,0,1,19,3.3,0.581272458254069,Cheetah
400,0,0.279800207622035,0,0.990800322967609,0,0,0,1,19,3.3,0.945992432060544,Armadillo
403,0,0.279800207622035,0,-0.857799976930885,3.14159265358979,0,0,1,19,3.3,0.945992432060544,Armadillo
404,0,0.971672573246981,0,0.971672573246981,6.28318530717959,0,0,1,19,3.3,0.692520775623269,NinjaFlex
405,0,0.986045866146804,0,-0.962527436487796,0,0,0,1,19,3.3,0.530171582803162,Armadillo
406,0,0.839769054582444,0,0.839769054582444,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
407,0,-0.288999884654425,0,-0.288999884654425,0,0,0,1,19,3.3,0.945992432060544,Armadillo
411,0.853200138414689,-0.00459983851619539,0,0.990800322967609,2.74889357189107,0,0,1,19,3.3,0.945992432060544,Armadillo
414,0,-0.857799976930885,0,0.990800322967609,3.14159265358979,0,0,1,19,3.3,0.945992432060544,Armadillo
415,0.896214806021354,0.882051092644845,0,-0.910378519397865,3.53429173528852,0,0,1,19,3.3,0.692520775623269,NinjaFlex
417,0.995400161483804,0.13760018455292,0.56880009227646,-0.288999884654425,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
424,1.13760018455292,0.279800207622035,0.142200023069115,0.990800322967609,0,0,0,1,19,3.3,0.945992432060544,Armadillo
426,0,0.986045866146804,0,0.761210485073581,6.28318530717959,0,0,1,19,3.3,0.530171582803162,Armadillo
427,0,0.638032672196101,0.282419426240707,0.976935983684949,6.28318530717959,0,0,1,19,3.3,0.581272458254069,Cheetah
428,0,0.279800207622035,0.711000115345575,-0.14679986158531,0,0,0,1,19,3.3,0.945992432060544,Armadillo
431,0,-0.661096688511152,0,-0.943516114751859,0,0,0,1,19,3.3,0.581272458254069,Cheetah
432,0,0.564200253760264,0,0.990800322967609,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
436,0,0.706400276829379,0,-0.857799976930885,0,0,0,1,19,3.3,0.945992432060544,Armadillo
446,0.426600069207345,-0.43119990772354,0,-0.857799976930885,0,0,0,1,19,3.3,0.945992432060544,Armadillo
448,0.338903311488848,-0.60461280326301,0.338903311488848,-0.60461280326301,0,0,0,1,19,3.3,0.581272458254069,Cheetah
449,0,0.605331475473493,0.178370163941499,0.962071803356491,6.28318530717959,0,0,1,19,3.3,0.598086124401914,Cheetah
450,0.995400161483804,0.848600299898494,0.28440004613823,-0.573399930792655,0,0,0,1,19,3.3,0.945992432060544,Armadillo
454,0,-0.857799976930885,0.853200138414689,0.848600299898494,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
456,0,-0.943516114751859,0.282419426240707,-0.661096688511152,0,0,0,1,19,3.3,0.581272458254069,Cheetah
460,0.896214806021354,0.882051092644845,0.358485922408542,0.971672573246981,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
464,0.896214806021354,0.882051092644845,0.448107403010677,0.971672573246981,6.28318530717959,0,0,1,19,3.3,0.692520775623269,NinjaFlex
465,1.13760018455292,0.279800207622035,0.56880009227646,-0.288999884654425,0,0,0,1,19,3.3,0.945992432060544,Armadillo
467,0,0.971672573246981,0.627350364214948,0.882051092644845,6.28318530717959,0,0,1,19,3.3,0.692520775623269,NinjaFlex
469,0.426600069207345,-0.43119990772354,0.853200138414689,0.848600299898494,0,0,0,1,19,3.3,0.945992432060544,Armadillo
471,0.448107403010677,-0.462271116387187,0.179242961204271,-0.731135558193594,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
472,0,-0.962527436487796,0.224835381073223,-0.737692055414573,6.28318530717959,0,0,1,19,3.3,0.530171582803162,Armadillo
473,0,-0.288999884654425,0.995400161483804,0.13760018455292,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
474,0,-0.288999884654425,0.28440004613823,0.848600299898494,0,0,0,1,19,3.3,0.945992432060544,Armadillo
476,0.448107403010677,-0.462271116387187,0.627350364214948,0.79242961204271,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
477,0,0.523565170236303,0.806593325419219,0.882051092644845,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
480,0.896214806021354,0.882051092644845,0.448107403010677,-0.462271116387187,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
482,0,0.990800322967609,0.142200023069115,-0.71559995386177,0,0,0,1,19,3.3,0.945992432060544,Armadillo
483,0,0.996822510461433,0.0897448319308507,0.996822510461433,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
484,0.338903311488848,-0.60461280326301,0.169451655744424,-0.774064459007434,0,0,0,1,19,3.3,0.581272458254069,Cheetah
488,0,-0.288999884654425,0.28440004613823,-0.573399930792655,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
489,0,0.971672573246981,0.896214806021354,0.882051092644845,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
493,0.338903311488848,-0.60461280326301,0.338903311488848,-0.60461280326301,6.28318530717959,0,0,1,19,3.3,0.581272458254069,Cheetah
495,0.853200138414689,-0.00459983851619539,0.28440004613823,0.848600299898494,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
499,1.13760018455292,0.279800207622035,1.13760018455292,0.706400276829379,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
501,0.338903311488848,-0.60461280326301,0.112967770496283,-0.830548344255576,6.28318530717959,0,0,1,19,3.3,0.581272458254069,Cheetah
502,0.299780508097631,0.986045866146804,0.299780508097631,0.986045866146804,6.28318530717959,0,0,1,19,3.3,0.530171582803162,Armadillo
503,1.13760018455292,0.279800207622035,0.142200023069115,-0.71559995386177,6.28318530717959,0,0,1,19,3.3,0.945992432060544,Armadillo
507,0.711000115345575,-0.14679986158531,0.28440004613823,-0.573399930792655,0,0,0,1,19,3.3,0.945992432060544,Armadillo
508,0,0.638032672196101,0.451871081985131,0.920452098436808,0,0,0,1,19,3.3,0.581272458254069,Cheetah
514,0.896214806021354,0.882051092644845,0.0896214806021354,0.523565170236303,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
517,0,-0.940543278686167,0.237826885255332,-0.702716393430835,6.28318530717959,0,0,1,19,3.3,0.598086124401914,Cheetah
518,0,0.971672573246981,0.896214806021354,0.882051092644845,6.28318530717959,0,0,1,19,3.3,0.692520775623269,NinjaFlex
520,0.134617247896276,-0.842946544121011,0.0673086239481381,-0.910255168069149,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
526,0,0.839769054582444,0.157053455878989,0.97438630247872,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
530,0,0.839769054582444,0.0897448319308507,0.996822510461433,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
535,0.896214806021354,0.882051092644845,0.716971844817084,0.79242961204271,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
538,0.451871081985131,0.920452098436808,0,0.638032672196101,0,0,0,1,19,3.3,0.581272458254069,Cheetah
540,0.112181039913563,0.996822510461433,0,0.839769054582444,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
544,0,-0.977563792017287,0,-0.977563792017287,3.53429173528852,0,0,1,19,3.3,0.497377464279255,NinjaFlex
548,0.134617247896276,-0.842946544121011,0.134617247896276,-0.842946544121011,3.14159265358979,0,0,1,19,3.3,0.497377464279255,NinjaFlex
550,0,0.976935983684949,0.338903311488848,0.976935983684949,0,0,0,1,19,3.3,0.581272458254069,Cheetah
551,0.896214806021354,0.882051092644845,0.358485922408542,0.971672573246981,6.28318530717959,0,0,1,19,3.3,0.692520775623269,NinjaFlex
552,0,0.839769054582444,0.0673086239481381,0.996822510461433,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
554,0,0.523565170236303,0.716971844817084,0.882051092644845,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
556,0,-0.842946544121011,0.134617247896276,-0.842946544121011,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
559,0.451871081985131,0.920452098436808,0.451871081985131,0.920452098436808,6.28318530717959,0,0,1,19,3.3,0.581272458254069,Cheetah
560,0,0.996822510461433,0.157053455878989,0.97438630247872,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
563,0.896214806021354,0.882051092644845,0,0.971672573246981,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
564,0,0.839769054582444,0,0.996822510461433,3.14159265358979,0,0,1,19,3.3,0.497377464279255,NinjaFlex
568,0,0.971672573246981,0,0.523565170236303,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
571,0.112181039913563,0.996822510461433,0.0673086239481381,0.996822510461433,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
574,0,0.962071803356491,0.356740327882998,0.962071803356491,0,0,0,1,19,3.3,0.598086124401914,Cheetah
576,0,0.839769054582444,0.157053455878989,0.97438630247872,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
578,0,-0.462271116387187,0.448107403010677,-0.462271116387187,3.14159265358979,0,0,1,19,3.3,0.692520775623269,NinjaFlex
580,0,0.839769054582444,0.157053455878989,0.97438630247872,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
582,0.896214806021354,0.882051092644845,0.358485922408542,-0.551892596989323,2.35619449019234,0,0,1,19,3.3,0.692520775623269,NinjaFlex
588,0,-0.977563792017287,0.0673086239481381,-0.842946544121011,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
591,0,-0.977563792017287,0.0673086239481381,-0.842946544121011,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
593,0.224835381073223,-0.737692055414573,0.224835381073223,-0.737692055414573,2.35619449019234,0,0,1,19,3.3,0.530171582803162,Armadillo
596,0,-0.842946544121011,0.134617247896276,-0.842946544121011,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
597,0,0.523565170236303,0.806593325419219,0.882051092644845,6.28318530717959,0,0,1,19,3.3,0.692520775623269,NinjaFlex
600,0.134617247896276,-0.842946544121011,0,-0.842946544121011,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
604,0,0.996822510461433,0.157053455878989,0.97438630247872,3.14159265358979,0,0,1,19,3.3,0.497377464279255,NinjaFlex
606,0.896214806021354,0.882051092644845,0.537728883612813,0.702808131440574,6.28318530717959,0,0,1,19,3.3,0.692520775623269,NinjaFlex
608,0,0.996822510461433,0,0.839769054582444,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
609,0,0.976935983684949,0.282419426240707,0.807484327940525,6.28318530717959,0,0,1,19,3.3,0.581272458254069,Cheetah
612,0,0.996822510461433,0,0.996822510461433,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
614,0,0.605331475473493,0.118913442627666,0.664788196787326,6.28318530717959,0,0,1,19,3.3,0.598086124401914,Cheetah
615,0,-0.962527436487796,0.0374725635122039,-0.737692055414573,0,0,0,1,19,3.3,0.530171582803162,Armadillo
616,0,0.839769054582444,0,0.839769054582444,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
619,0,0.971672573246981,0.537728883612813,0.882051092644845,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
620,0,-0.977563792017287,0.134617247896276,-0.842946544121011,3.14159265358979,0,0,1,19,3.3,0.497377464279255,NinjaFlex
621,0,-0.943516114751859,0.225935540992565,-0.60461280326301,6.28318530717959,0,0,1,19,3.3,0.581272458254069,Cheetah
623,0,0.761210485073581,0.112417690536612,0.986045866146804,0,0,0,1,19,3.3,0.530171582803162,Armadillo
624,0,-0.977563792017287,0,-0.977563792017287,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
626,0,0.971672573246981,0.716971844817084,0.79242961204271,6.28318530717959,0,0,1,19,3.3,0.692520775623269,NinjaFlex
627,0,0.962071803356491,0.059456721313833,0.962071803356491,0,0,0,1,19,3.3,0.598086124401914,Cheetah
628,0,-0.842946544121011,0,-0.977563792017287,3.14159265358979,0,0,1,19,3.3,0.497377464279255,NinjaFlex
629,0,-0.842946544121011,0,-0.977563792017287,1.96349540849362,0,0,1,19,3.3,0.497377464279255,NinjaFlex
630,0,0.996822510461433,0,0.839769054582444,2.74889357189107,0,0,1,19,3.3,0.497377464279255,NinjaFlex
631,0,0.638032672196101,0,0.638032672196101,3.14159265358979,0,0,1,19,3.3,0.581272458254069,Cheetah
632,0,0.996822510461433,0,0.839769054582444,1.96349540849362,0,0,1,19,3.3,0.497377464279255,NinjaFlex
634,0.896214806021354,0.882051092644845,0.179242961204271,-0.462271116387187,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
636,0,0.996822510461433,0.157053455878989,0.97438630247872,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
637,0,0.638032672196101,0.338903311488848,0.976935983684949,0,0,0,1,19,3.3,0.581272458254069,Cheetah
639,0,-0.737692055414573,0,-0.962527436487796,0,0,0,1,19,3.3,0.530171582803162,Armadillo
642,0,-0.940543278686167,0,-0.940543278686167,0,0,0,1,19,3.3,0.598086124401914,Cheetah
646,0.451871081985131,0.920452098436808,0.169451655744424,0.976935983684949,0,0,0,1,19,3.3,0.581272458254069,Cheetah
656,0,0.986045866146804,0.299780508097631,0.986045866146804,0,0,0,1,19,3.3,0.530171582803162,Armadillo
660,0,0.971672573246981,0.806593325419219,0.882051092644845,1.96349540849362,0,0,1,19,3.3,0.692520775623269,NinjaFlex
671,0,0.986045866146804,0.187362817561019,0.986045866146804,1.96349540849362,0,0,1,19,3.3,0.530171582803162,Armadillo
676,0,-0.943516114751859,0.338903311488848,-0.60461280326301,1.96349540849362,0,0,1,19,3.3,0.581272458254069,Cheetah
679,0,0.971672573246981,0.448107403010677,0.971672573246981,1.96349540849362,0,0,1,19,3.3,0.692520775623269,NinjaFlex
709,0,-0.977563792017287,0,-0.977563792017287,1.96349540849362,0,0,1,19,3.3,0.497377464279255,NinjaFlex
711,0,-0.977563792017287,0,-0.977563792017287,1.96349540849362,0,0,1,19,3.3,0.497377464279255,NinjaFlex
715,0.134617247896276,-0.842946544121011,0,-0.977563792017287,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
717,0,-0.962527436487796,0,-0.962527436487796,0,0,0,1,19,3.3,0.530171582803162,Armadillo
719,0.537728883612813,0.702808131440574,0,0.523565170236303,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
720,0.157053455878989,0.97438630247872,0,0.996822510461433,1.96349540849362,0,0,1,19,3.3,0.497377464279255,NinjaFlex
722,0.338903311488848,-0.60461280326301,0,-0.943516114751859,1.96349540849362,0,0,1,19,3.3,0.581272458254069,Cheetah
723,0.157053455878989,0.97438630247872,0,0.996822510461433,1.96349540849362,0,0,1,19,3.3,0.497377464279255,NinjaFlex
724,0,0.839769054582444,0,0.996822510461433,1.96349540849362,0,0,1,19,3.3,0.497377464279255,NinjaFlex
728,0,0.996822510461433,0,0.839769054582444,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
729,0,0.761210485073581,0,0.761210485073581,0,0,0,1,19,3.3,0.530171582803162,Armadillo
734,0,0.976935983684949,0,0.638032672196101,0,0,0,1,19,3.3,0.581272458254069,Cheetah
735,0,0.996822510461433,0.0673086239481381,0.907077678530582,1.96349540849362,0,0,1,19,3.3,0.497377464279255,NinjaFlex
742,0,-0.661096688511152,0.225935540992565,-0.60461280326301,0,0,0,1,19,3.3,0.581272458254069,Cheetah
744,0,0.976935983684949,0.451871081985131,0.920452098436808,1.96349540849362,0,0,1,19,3.3,0.581272458254069,Cheetah
747,0,-0.842946544121011,0.0673086239481381,-0.910255168069149,1.96349540849362,0,0,1,19,3.3,0.497377464279255,NinjaFlex
751,0,-0.977563792017287,0,-0.977563792017287,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
752,0.451871081985131,0.920452098436808,0.338903311488848,-0.60461280326301,0,0,0,1,19,3.3,0.581272458254069,Cheetah
753,0,0.839769054582444,0.0448724159654254,0.884641470547869,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
755,0,0.839769054582444,0.0448724159654254,0.884641470547869,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
757,0.134617247896276,-0.842946544121011,0,-0.977563792017287,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
759,0.157053455878989,0.97438630247872,0.112181039913563,0.996822510461433,1.96349540849362,0,0,1,19,3.3,0.497377464279255,NinjaFlex
761,0,-0.737692055414573,0.224835381073223,-0.737692055414573,0,0,0,1,19,3.3,0.530171582803162,Armadillo
762,0,-0.842946544121011,0,-0.842946544121011,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
763,0,-0.977563792017287,0,-0.842946544121011,1.96349540849362,0,0,1,19,3.3,0.497377464279255,NinjaFlex
765,0.224835381073223,-0.737692055414573,0,-0.962527436487796,6.28318530717959,0,0,1,19,3.3,0.530171582803162,Armadillo
766,0.134617247896276,-0.842946544121011,0,-0.977563792017287,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
769,0.134617247896276,-0.842946544121011,0,-0.977563792017287,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
770,0.0374725635122039,0.761210485073581,0,0.761210485073581,6.28318530717959,0,0,1,19,3.3,0.530171582803162,Armadillo
771,0.157053455878989,0.97438630247872,0,0.839769054582444,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
773,0.157053455878989,0.97438630247872,0,0.839769054582444,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
774,0.299780508097631,0.986045866146804,0,0.761210485073581,3.53429173528852,0,0,1,19,3.3,0.530171582803162,Armadillo
778,0,-0.737692055414573,0,-0.737692055414573,6.28318530717959,0,0,1,19,3.3,0.530171582803162,Armadillo
779,0,-0.842946544121011,0,-0.842946544121011,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
782,0,-0.842946544121011,0,-0.842946544121011,6.28318530717959,0,0,1,19,3.3,0.497377464279255,NinjaFlex
783,0,0.986045866146804,0,0.986045866146804,6.28318530717959,0,0,1,19,3.3,0.530171582803162,Armadillo
785,0.134617247896276,-0.842946544121011,0,-0.977563792017287,4.31968989868597,0,0,1,19,3.3,0.497377464279255,NinjaFlex
786,0,0.839769054582444,0,0.839769054582444,4.71238898038469,0,0,1,19,3.3,0.497377464279255,NinjaFlex
789,0,-0.962527436487796,0,-0.962527436487796,6.28318530717959,0,0,1,19,3.3,0.530171582803162,Armadillo
795,0.224835381073223,-0.737692055414573,0,-0.737692055414573,0,0,0,1,19,3.3,0.530171582803162,Armadillo
796,0,0.996822510461433,0,0.996822510461433,4.71238898038469,0,0,1,19,3.3,0.497377464279255,NinjaFlex
798,0,-0.962527436487796,0,-0.737692055414573,3.53429173528852,0,0,1,19,3.3,0.530171582803162,Armadillo
